# Instantané Wikimedia Commons : fichiers dont la page cite la référence Mérimée.
# Généré par `python -m merimee_etl.commons`, jamais à la main.
# Complète `wikidata_images.csv` ; ce n'est pas une décision éditoriale.
reference,fichier
PA00078016,Eglise - Fonts baptismaux - Allibaudières - Médiathèque de l'architecture et du patrimoine - APMH00009782.jpg
PA00078016,Eglise - Vierge et l'Enfant - Allibaudières - Médiathèque de l'architecture et du patrimoine - APMH00009783.jpg
PA00078036,Bar-sur-Aube (10) Portail 4 Rue Saint-Pierre.jpg
PA00078170,Nogent-sur-Seine hospice.jpg
PA00078292,Croix de cimetière - Vanlay - Médiathèque de l'architecture et du patrimoine - APMH00031888.jpg
PA00078292,Croix de cimetière - Vanlay - Médiathèque de l'architecture et du patrimoine - APMH00031892.jpg
PA00078292,Croix de cimetière - Vanlay - Médiathèque de l'architecture et du patrimoine - APMH00031893.jpg
PA00078417,Mézières - Préfecture - 2.jpg
PA00078417,Prefecture 05462.JPG
PA00078417,Prefecture 05463.JPG
PA00078604,Eglise - Porche - Bussy-Lettrée - Médiathèque de l'architecture et du patrimoine - APMH00026755.jpg
PA00078799,Reims 2011 (6).JPG
PA00078843,51507 SAINTE MENEHOULD 1 (5) 01.jpg
PA00078843,51507 SAINTE MENEHOULD 1 (5) 02.jpg
PA00078857,SEZANNE place du Champ Benoist.jpg
PA00078979,Ceffonds (52) Croix de cimetière.jpg
PA00079002,Châteauvillain - Tour de l'Auditoire.jpg
PA00079017,2012 août 0207 vieille maison à Chaumont.jpg
PA00079018,2012 août 0207 vieille maison à Chaumont.jpg
PA00079062,"Germainvilliers, Croix de chemin.jpg"
PA00080366,04046 1 LE CHAFFAUT SAINT JURSON (3).jpg
PA00080366,Château du Chaffaut St Jurson 04510.jpg
PA00080765,Menton - Hôtel Winter Palace depuis l'avenue général Leclerc.jpg
PA00080889,Borne du Premier Empire à La Turbie - photo MH.jpg
PA00080896,Maison - Façade sur rue - Turbie (La) - Médiathèque de l'architecture et du patrimoine - APMH00012443.jpg
PA00080908,Oppidum des Encourdoules - site archeologique.jpg
PA00080908,Oppidum des Encourdoules.jpg
PA00081225,Remparts - Baux-de-Provence (Les) - Médiathèque de l'architecture et du patrimoine - APMH00010210.jpg
PA00081225,Remparts - Baux-de-Provence (Les) - Médiathèque de l'architecture et du patrimoine - APMH00010212.jpg
PA00081225,Remparts - Baux-de-Provence (Les) - Médiathèque de l'architecture et du patrimoine - APMH00010213.jpg
PA00081535,Provence me sept.08 031a.jpg
PA00081624,Thermes antiques (restes) - Vue intérieure d'une salle - Fréjus - Médiathèque de l'architecture et du patrimoine - APMH00001264.jpg
PA00081728,Saint-Zacharie 20210606 155336.jpg
PA00082078,Vue vers le Luberon.JPG
PA00082932,09 NAQ - Dordogne - Sarlat-la-Canéda (2024-04-23 12-04-59).jpg
PA00083267,MH-Bordeaux-15.jpg
PA00083272,Bordeaux-MH-6 cours de l'Intendance.jpg
PA00083279,MH-Bordeaux-16.jpg
PA00083282,Bordeaux-MH-07.jpg
PA00083288,Bordeaux-MH-4 place du Parlement.jpg
PA00083289,Bordeaux-MH-5 place du Parlement.jpg
PA00083399,Bordeaux-MH-09.jpg
PA00083405,Bordeaux-MH-14.jpg
PA00083437,Bordeaux-MH-29 place Gambetta.jpg
PA00083458,Bordeaux-MH-4 cours Georges Clemenceau.jpg
PA00083459,Bordeaux-MH-5 cours Georges Clemenceau.jpg
PA00083460,Bordeaux-MH-68 cours de l'Intendance.jpg
PA00083462,Bordeaux-MH-72 cours de l'Intendance.jpg
PA00083463,Bordeaux-MH-74 cours de l'Intendance.jpg
PA00083466,Bordeaux-MH-13.jpg
PA00083467,Bordeaux-MH-109 rue Porte Dijeaux.jpg
PA00083468,Bordeaux-MH-111 rue Porte Dijeaux.jpg
PA00083470,Bordeaux-MH-05.jpg
PA00083733,Maison dite maison gothique - Vue d'ensemble - Saint-Emilion - Médiathèque de l'architecture et du patrimoine - APMH00034092.jpg
PA00083870,Bordeaux-MH-Ravalement du 21 rue Raze.jpg
PA00084410,Mehatseko Bizkarra harrespil.jpg
PA00084410,Mehatseko Lepoa harrespil.jpg
PA00084955,"Cloître des Récollets, galerie ouest - Saverne 67.JPG"
PA00084955,Saverne CouventRécollets 56.JPG
PA00084955,Saverne CouventRécollets 60.JPG
PA00085693,"Steinbrunn-le-Bas, Manoir seigneurial MH.jpg"
PA00085802,Paris 146 rue Saint-Honoré.JPG
PA00085802,Paris 148 rue Saint-Honoré.JPG
PA00085802,Paris 150-148 rue Saint-Honoré.JPG
